4aaaaa,,ccccc,ddddd,eeeee,fffff,ggggg,hhhhh,iiiii,jjjjj,ZN3,lllll,mmmmm,nnnnn,ooooo,ZN1,qqqqq,rrrrr,sssss,ttttt,uuuuu,vvvvv,wwwww,yyyyy,zzzzz 
4aaaaa,,ccccc,ddddd,eeeee,fffff,ggggg,hhhhh,iiiii,jjjjj,ZN3,lllll,mmmmm,nnnnn,ooooo,ZN1,qqqqq,rrrrr,sssss,ttttt,uuuuu,vvvvv,wwwww,yyyyy,zzzzz 
4aaaaa,,ccccc,ddddd,eeeee,fffff,ggggg,hhhhh,iiiii,jjjjj,ZN3,lllll,mmmmm,nnnnn,ooooo,ZN1,qqqqq,rrrrr,sssss,ttttt,uuuuu,vvvvv,wwwww,yyyyy,zzzzz 
4aaaaa,,ccccc,ddddd,eeeee,fffff,ggggg,hhhhh,iiiii,jjjjj,ZN3,lllll,mmmmm,nnnnn,ooooo,ZN1,qqqqq,rrrrr,sssss,ttttt,uuuuu,vvvvv,wwwww,yyyyy,zzzzz 
4aaaaa,,ccccc,ddddd,eeeee,fffff,ggggg,hhhhh,iiiii,jjjjj,ZN3,lllll,mmmmm,nnnnn,ooooo,ZN1,qqqqq,rrrrr,sssss,ttttt,uuuuu,vvvvv,wwwww,yyyyy,zzzzz 
4aaaaa,,ccccc,ddddd,eeeee,fffff,ggggg,hhhhh,iiiii,jjjjj,ZN3,lllll,mmmmm,nnnnn,ooooo,ZN1,qqqqq,rrrrr,sssss,ttttt,uuuuu,vvvvv,wwwww,yyyyy,zzzzz 
4aaaaa,,ccccc,ddddd,eeeee,fffff,ggggg,hhhhh,iiiii,jjjjj,ZN3,lllll,mmmmm,nnnnn,ooooo,ZN1,qqqqq,rrrrr,sssss,ttttt,uuuuu,vvvvv,wwwww,yyyyy,zzzzz 
4aaaaa,,ccccc,ddddd,eeeee,fffff,ggggg,hhhhh,iiiii,jjjjj,ZN3,lllll,mmmmm,nnnnn,ooooo,ZN1,qqqqq,rrrrr,sssss,ttttt,uuuuu,vvvvv,wwwww,yyyyy,zzzzz 
4aaaaa,,ccccc,ddddd,eeeee,fffff,ggggg,hhhhh,iiiii,jjjjj,ZN3,lllll,mmmmm,nnnnn,ooooo,ZN1,qqqqq,rrrrr,sssss,ttttt,uuuuu,vvvvv,wwwww,yyyyy,zzzzz 
4aaaaa,,ccccc,ddddd,eeeee,fffff,ggggg,hhhhh,iiiii,jjjjj,ZN3,lllll,mmmmm,nnnnn,ooooo,ZN1,qqqqq,rrrrr,sssss,ttttt,uuuuu,vvvvv,wwwww,yyyyy,zzzzz 
